Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,214.399994,216.160004,213.979996,216.160004,214.416458,30969400
2020-01-03,213.300003,215.470001,213.279999,214.179993,212.452408,27518900
2020-01-06,212.500000,215.589996,212.240005,215.559998,213.821289,21655300
2020-01-07,215.639999,216.139999,214.850006,215.529999,213.791519,22139300
2020-01-08,215.500000,218.139999,215.160004,217.149994,215.398438,26397300
2020-01-09,218.940002,219.410004,217.710007,218.990005,217.223633,23547000
2020-01-10,219.850006,219.869995,218.039993,218.429993,216.668137,21898500
2020-01-13,219.330002,220.979996,218.979996,220.949997,219.167801,22756900
2020-01-14,220.839996,221.210007,219.740005,220.080002,218.304825,24418100
2020-01-15,220.199997,221.199997,219.449997,220.169998,218.394089,25742100
2020-01-16,221.270004,222.320007,220.800003,222.279999,220.487076,18805000
2020-01-17,223.279999,223.559998,222.119995,223.380005,221.578201,24325200
2020-01-21,222.759995,223.839996,222.660004,223.279999,221.479019,21146300
2020-01-22,224.410004,225.149994,223.589996,223.869995,222.064240,20736400
2020-01-23,223.740005,224.690002,222.699997,224.589996,222.778458,26496100
2020-01-24,225.639999,225.880005,221.669998,222.699997,220.903702,37436500
2020-01-27,217.669998,219.279999,217.179993,218.100006,216.340805,42264400
2020-01-28,219.639999,221.960007,219.059998,221.449997,219.663773,26731900
2020-01-29,222.679993,222.929993,220.830002,221.809998,220.020874,28924500
2020-01-30,220.380005,222.699997,219.690002,222.600006,220.804504,39568100
2020-01-31,223.529999,223.559998,218.289993,219.070007,217.302979,52015800
2020-02-03,220.139999,222.889999,219.990005,222.380005,220.586273,25408600
2020-02-04,225.419998,227.860001,224.649994,227.470001,225.635223,30691200
2020-02-05,230.210007,230.250000,226.850006,228.220001,226.379166,38534800
2020-02-06,228.789993,230.250000,227.979996,230.190002,228.333282,22467100
2020-02-07,229.160004,230.440002,228.539993,229.199997,227.351257,25884900
2020-02-10,228.440002,231.979996,228.380005,231.970001,230.098907,21478900
